索引,上衣顏色,上衣花紋,上衣類型,下裝顏色,下裝花紋,下裝種類,高跟鞋顏色,高跟鞋種類,雙手動作,表情,飾品配件,場景,動作,指甲顏色
1,Pure White,Solid Color,Strapless Satin Top,Pure White,Solid Color,Bodycon ,Pure White,Smooth Leather Stiletto Heels,"Both hands clasped behind back, elbows slightly bent","Calm and composed expression, lips gently pressed together.","Gold Bangle Bracelet, thin, shiny surface, worn loosely on left wrist","Bright art gallery with sculptures, sunlight evenly spread","Balancing on a wooden swing, leaning back against the ropes, legs extended straight forward and slightly upward as if swinging towards the camera, skirt fluttering naturally around the thighs.","Charcoal black polish, deep tone with mirror-like gloss"
2,Jet Black,Subtle Gradient,Strapless Knit Top,Jet Black,Subtle Gradient,Stretch Fabric ,Jet Black,Patent Leather Stiletto Heels,"Both hands extended sideways, palms facing down, fingers straight","Gentle closed-lip smile, eyebrows relaxed.","Silver Cuff Bracelet, engraved pattern, polished finish, worn on right wrist","Bright art studio with easels and paintings, sunlight uniformly spread","Bouncing gently on a large yoga ball, legs spread wide for balance but knees angled sharply inward to touch each other, feet pointing outward, creating a cute ""A-shape"" stance.","Classic crimson red, evenly coated with a smooth glossy surface"
3,Bright Primary Red,Two-Tone Color Block,Strapless Ribbed Top,Bright Primary Red,Two-Tone Color Block,High-Waist ,Bright Red,Suede Stiletto Heels,"Left arm crossed under chest, right hand supporting chin, fingers relaxed","Mildly curious expression, eyes slightly widened, lips relaxed.","Delicate Chain Bracelet, rose gold, small charms dangling, worn on left wrist","Bright balcony with small table and chairs, sunlight evenly spread","Chair-edge sit with thighs angled downward and feet flat, hips forward creating intentional tension.","Cool gray polish, minimalist tone with low-reflection sheen"
4,Royal Blue,Vertical Color Block,Bandeau-Style Fabric Top,Royal Blue,Vertical Color Block,Ultra-High-Waist ,Crimson Red,Satin Stiletto Heels,"Left hand extended forward with palm up, right hand extended forward with palm down","Neutral expression with relaxed features, approachable and serene.","Stacked Rings, multiple thin bands, mixed metals, worn on fingers of right hand","Bright bedroom with open curtains, sunlight evenly filling space","Cross-legged lean-forward, torso slightly bending over, hips and legs filling frame, heels lightly touching floor, toes flexed outward.","Creamy ivory color, soft warmth with polished surface"
5,Bright Lemon Yellow,Horizontal Color Block,Tube Top with Structured Fabric,Bright Lemon Yellow,Horizontal Color Block,Slim-Fit ,Wine Red,Matte Leather Classic Pumps,"Left hand extended forward, fingers slightly spread, right hand extended forward, fingers slightly curved","Slightly raised eyebrows with a calm, serene expression.","Gemstone Ring, emerald stone in silver setting, worn on left ring finger","Bright bedroom with wardrobe and desk, sunlight evenly spread","Crouching low on a longboard, knees bent deep and close together, balancing on the balls of the feet, skirt draping over the heels, compact and centered.","Deep navy blue polish, rich tone with controlled gloss"
6,Pure Grass Green,Diagonal Color Block,Soft-Fit Tube Top,Pure Grass Green,Diagonal Color Block,Straight-Cut ,Blush Pink,Patent Leather Classic Pumps,"Left hand forming gentle cupping shape in front, right hand forming gentle cupping shape in front","Soft content expression, corners of mouth gently lifted.","Leather Strap Watch, brown leather band, small gold dial, worn on left wrist","Bright classroom with large windows, evenly lit desks","Crouching low on the balls of feet, one knee dropped lower near the ground, the other knee higher up near the chest, compact and ready.","Deep wine red polish with a high-gloss, glass-like finish"
7,Deep Forest Green,Thin Vertical Stripes,Cropped Tube Top,Deep Forest Green,Thin Vertical Stripes,Pencil-Style ,Dusty Rose,Suede Classic Pumps,"Left hand forming loose fist, right hand palm up as if offering","Soft grin showing minimal teeth, lips relaxed.","Pearl Necklace, classic white pearls, medium length, worn around neck","Bright corridor with glass panels, sunlight filling the space","Deep controlled squat with knees wide and heels together, hips hovering low, posture steady and teasingly restrained.","Dusty mauve color, finely applied with subtle luster"
8,Bright Turquoise,Thin Horizontal Stripes,Sleeveless Satin Top,Bright Turquoise,Thin Horizontal Stripes,A-Line  (Narrow Hem),Peach,Velvet Classic Pumps,"Left hand gently touching collar, right hand holding sleeve","Soft neutral smile, eyes open, relaxed jaw.","Gold Pendant Necklace, thin chain with small diamond pendant, worn at collarbone","Bright corridor with plants, uniform natural light","Deep crouch on a stair step with knees bent wide, heels flat, hips dropped low, maintaining controlled balance and tension.","Forest green polish, deep earthy tone with even application"
9,Pure Cyan,Pinstripes,Sleeveless Silk-Blend Top,Pure Cyan,Pinstripes,Micro ,Hot Pink,Patent Pointed-Toe Heels,"Left hand holding bag strap over shoulder, right hand adjusting hem",Subtle smirk with corners of mouth slightly upturned.,"Velvet Choker, deep red, small silver charm in front, worn tightly around neck","Bright hallway with stairs, sunlight evenly illuminating floor","Deep pli?-style squat with knees turned outward and heels together, hips lowered slowly, posture steady and controlled.","Lavender gray polish, cool pastel tone with satin finish"
10,Sky Blue,Micro Stripes,Sleeveless Ribbed Knit Top,Sky Blue,Micro Stripes,Fitted Knit ,Lavender,Matte Leather Pointed-Toe Heels,"Left hand holding hair behind head, right hand on hip","Warm friendly smile, eyes bright and attentive.","Silk Scarf, light blue, loosely wrapped, ends draped over shoulders","Bright nursery with soft pastel walls, uniform daylight","Dynamic crouching pose with one knee touching the ground and the other knee raised high near the chest, creating a triangular composition with the body.","Midnight blue color, dark saturation with subtle shine"
11,Royal Purple,Polka Dots,Sleeveless Jersey Top,Royal Purple,Polka Dots,Ribbed Knit ,Lilac,Suede Pointed-Toe Heels,"Left hand holding imaginary object at shoulder height, right hand below at waist",,"Stud Earrings, small round diamond, worn on both earlobes","Bright nursery with toys and pastel walls, uniform light","Half-sitting lunge with one thigh angled to camera, other leg bent to side, weight evenly distributed, hips squared.","Muted olive green, matte-leaning finish with smooth texture"
12,Indigo Purple,Micro Polka Dots,Sleeveless Stretch Fabric Top,Indigo Purple,Micro Polka Dots,Smooth Leather ,Sky Blue,Textured Fabric Pointed-Toe Heels,"Left hand holding skirt side, right hand resting at side",,"Hoop Earrings, medium size gold hoops, worn on both ears","Bright studio with easel and art supplies, sunlight filling room","Half-split with both legs stretched diagonally, torso leaning slightly forward, heels lightly pressed down, maintaining poise and balance.","Muted rose pink polish, soft tone with a satin sheen"
13,Hot Magenta,Minimal Geometric Pattern,Slim-Fit Sleeveless Top,Hot Magenta,Minimal Geometric Pattern,Patent Leather ,Turquoise,Matte Leather Square-Toe Heels,"Left hand in front of chest, right hand on opposite elbow",,"Drop Earrings, silver chain with teardrop gem, dangling below earlobe","Bright study room with desk near window, light filling the room","Jumping pose frozen in mid-air, with knees tucked up high towards the chest, compacting the body into a floating bundle.","Nude beige polish, natural tone with a refined glossy finish"
14,Lavender Purple,Repeating Triangle Pattern,Halter-Neck Fabric Top,Lavender Purple,Repeating Triangle Pattern,Faux Leather ,Teal,Patent Square-Toe Heels,"Left hand lightly resting on table edge, right hand forming loose fist nearby",,"Ear Cuff, gold, wraps around upper ear cartilage, no piercing required",Bright sunlit bedroom with large windows and soft curtains,"Kneeling lunge with one leg bent forward and the other resting backward, torso upright, balance fully centered on feet.","Pale sky blue polish, light tone with clean, uniform finish"
15,Chocolate Brown,Repeating Diamond Pattern,Halter-Neck Satin Top,Chocolate Brown,Repeating Diamond Pattern,Suede ,Navy Blue,Suede Square-Toe Heels,"Left hand on chest, palm flat, fingers together, right hand on chest parallel, fingers together",,"Statement Earrings, colorful geometric shapes, worn on both ears","Bright terrace with city view, soft daylight evenly filling space","Kneeling on a low platform with knees separated and hips slightly lifted, toes tucked to extend the leg line downward.","Pure snow white polish, opaque coverage with clean finish"
16,Warm Beige,Abstract Line Pattern,Halter-Neck Ribbed Top,Warm Beige,Abstract Line Pattern,Satin ,Emerald Green,Patent Open / Peep-Toe Heels,"Left hand on left waist, right hand on right waist, elbows slightly outward",,"Hair Ribbon, satin, pale pink, tied in bow on right side","Bright terrace with lounge furniture, even daylight across area","Kneeling on floor with knees slightly apart, toes tucked under, back straight, upper body facing camera, legs elongated.","Rich chocolate brown polish, warm undertone with gentle gloss"
17,Cream White,Abstract Wave Pattern,One-Shoulder Stretch Top,Cream White,Abstract Wave Pattern,Silk-Blend ,Forest Green,Satin Open / Peep-Toe Heels,"Left hand on right shoulder, right hand on left shoulder, fingers relaxed",,"Hair Clip, gold metallic, floral design, clipped near temple","Contemporary bathroom with vanity mirror, sunlight uniformly bright","Kneeling on low platform with knees apart, toes tucked, torso upright, creating long leg impression.","Smoky plum color, dark muted purple with elegant sheen"
18,Cool Light Gray,Soft Marble Texture,One-Shoulder Satin Top,Cool Light Gray,Soft Marble Texture,Matte Fabric ,Lemon Yellow,Smooth Leather Slingback Heels,"Left hand palm inward at hip, right hand palm inward at opposite hip",,"Headband, velvet, dark blue, sits across top of head","Contemporary bedroom with canopy bed, sunlight evenly filling room","Kneeling on one knee with the other foot planted firmly forward, the raised thigh horizontal to the ground, creating a perfect right angle structure.","Soft caramel beige color, smooth coating with refined shine"
19,Charcoal Gray,Light Tie-Dye,One-Shoulder Ribbed Knit Top,Charcoal Gray,Light Tie-Dye,Glossy Coated ,Gold Metallic,Patent Slingback Heels,"Left hand pointing downward, right hand pointing forward",,"Hair Pin, pearl-tipped, inserted on left side","Contemporary kitchen with large island, sunlight evenly spread","Kneeling pose with hips resting just above heels, knees apart, toes tucked to emphasize long thigh lines.","Soft pastel pink polish, clean edges and gentle shine"
20,Metallic Gold,Ombre Fade,Thin-Strap Fabric Top,Metallic Gold,Ombre Fade,Metallic Finish ,Silver Metallic,Suede Slingback Heels,"Left hand pointing forward, right hand forming loose fist at side",,"Hair Flower, white camellia, clipped above ear","Contemporary kitchen with open shelves, bright natural light","Kneeling pose with knees apart and hips resting back slightly, toes tucked, spine upright to elongate legs toward camera.","Warm taupe color, balanced neutral shade with smooth coating"
21,Pure White + Jet Black,Minimal Floral Print,Thin-Strap Satin Top,Pure White + Jet Black,Minimal Floral Print,Denim  (Slim Cut),Bronze Metallic,Leather Ankle-Strap Heels,"Left hand reaching diagonally across body, right hand supporting wrist",,"Shoulder Bag, leather, dark brown, small flap with buckle, worn on left shoulder","Contemporary kitchen with wooden cabinets, bright ambient daylight","Kneeling pose with legs tucked under and slightly apart, buttocks lightly hovering above heels, torso elongated, balance centered.",
22,Bright Primary Red + Pure White,Line-Art Floral Pattern,Thin-Strap Stretch Top,Bright Primary Red + Pure White,Line-Art Floral Pattern,Stretch Denim ,Chocolate Brown,Patent Ankle-Strap Heels,"Left hand reaching upward, right hand slightly bent, fingers relaxed",,"Crossbody Bag, canvas, beige, adjustable strap, worn across body","Contemporary library with long tables, sunlight evenly illuminating space","Kneeling tall on both knees with thighs vertical and parallel, shins flat on the floor, upper body leaning slightly back to maintain balance.",
23,Royal Blue + Bright Lemon Yellow,Graphic Floral Print,Thin-Strap Ribbed Top,Royal Blue + Bright Lemon Yellow,Graphic Floral Print,Low-Rise ,Tan,Suede Ankle-Strap Heels,"Left hand resting on neck, right hand on shoulder",,"Clutch Bag, satin, gold, hand-held, no strap","Contemporary office with computer desk, bright ambient daylight","Kneeling tall on both knees, thighs perpendicular to the ground, knees spaced shoulder-width apart for a strong, rectangular base.",
24,Grass Green + Warm Beige,Scattered Petal Print,Camisole-Style Fabric Top,Grass Green + Warm Beige,Scattered Petal Print,Side-Slit ,Beige,Satin Ankle-Strap Heels,"Left hand resting on table or object, right hand lightly on top",,"Belt, leather, dark brown, simple buckle, worn at waist over skirt","Contemporary office with desk and laptop, evenly lit by daylight","Leaning back against a textured brick wall, one foot planted flat on the ground, the other leg bent at the knee and foot resting flat against the wall behind, creating a dynamic figure-4 shape suitable for a skirt.",
